,name,location
1,jonathanwtea,"Shark River Hills, NJ"
2,Aim911,"Greenwood, IN"
3,ATLHawks_Talk,"Atlanta, GA"
4,rhotwire,"Montrose, CO"
5,brianlong,"Boulder, CO"
6,agargmd,"Chicago, IL"
7,Ivisi,"Orlando, FL"
8,lizzynjay,East Bay
9,newslarts,"New York, NY"
10,HannahHusmann,"Columbia, MO"
11,PurpleKhaos, Mayo
12,bytekast,"Boulder, CO"
13,BIOCIENCIA2013,Cumaná
14,orlovnord2,"New York, USA"
15,IamHRodriques,Atlanta GA 
16,FarmFairyCrafts,"Oregon, USA"
17,megdoyle,"Trent Woods, NC"
18,stahnma,"Madison, WI"
19,EHUNTER55,THE BURGH
20,Bravewriting,America
21,TrevorWhitehead,"California, USA"
22,editingemily,"Denver, CO"
23,IBspiders,"Concord, NC, USA"
24,The_Beltsander,ireland
25,healthknots,Charlotte NC
26,beachbum04064,"Maine, USA"
27,MillerMathTeach,"Texas, USA"
28,penguins630,"Naperville, IL"
29,lexiepena1,"New Bedford, MA"
30,mikhailsam7tp,United States
31,NenadMikovic773,"Chicago, IL"
32,senchristian4,"Naperville, IL"
33,Chinchillazllla,Kentucky
34,rileyyhangerr,"Ohio, USA"
35,MaryBeyea,"Ontario, Canada"
36,kkmassiatte,"Obetz, OH"
37,kelsiehudgens,texas
38,vesaldi,Chicago IL
39,AleshiaNicole,"Philadelphia , PA"
40,Can_Skeptic_Wm,"Windsor, Ontario Canada"
41,amomlessmom,Canada
42,coffeepleaseRN,Earth
43,ambettano,"Boston, MA"
44,KarlChristian,"Denver, CO"
45,Patty_Fingers,"Orem, UT"
46,jshepp121,"Knoxville, TN"
47,wtaptelevision,"Parkersburg, WV"
48,msmingelsmusic,"Cumberland, RI"
49,AruniKashyap,"Athens, GA"
50,Julietree5,"Anderson, SC"
51,ridandelous,"Boone, NC"
52,MalaikaAdero,"New York City, Atlanta"
53,delshaffer,"Charleston, SC"
54,tylmel,"Starkville, MS"
55,thaofficialtati,"New York, NY"
56,laibaixx,"Oklahoma City, OK"
57,termalmusic,United States
58,shibabeenu,"Fall River, MA"
59,AntigoDJ,"Antigo, WI"
60,ViraBurnayeva,"NoVA, USA"
61,juliekiel,"Owatonna, Minnesota"
62,kbrigham78,
